N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,7013,0,0.1923486446419248,0.1012379199999987,0.4052,0.0892,0.09830187755101744,0.03884751020408208,0.31758154959262613,3.474423615324597
150000,5000,8869,0,0.25654427164088744,0.10239695999999858,0.3995,0.1007,0.10210881632652755,0.019060979591836474,0.5308174234793044,-0.5562680862485068
150000,5000,6417,0,0.17748492187191134,0.09733879999999845,0.4039,0.0912,0.09409151020407872,0.04189771428571473,0.1592837380481271,3.865858056941702
150000,5000,3688,0,0.1289737642581712,0.10503871999999814,0.428,0.1759,0.10288277551020132,0.05919624489795807,0.2811427975561953,1.8575647494105894
150000,5000,8560,0,0.23983088300709088,0.09874919999999879,0.3929,0.1557,0.09786048979591602,0.023230367346938282,0.42379882245772243,-1.2140590435071512
150000,5000,11901,0,0.31582084085455775,0.09499303999999854,0.3747,0.0354,0.09116024489795742,0.00762563265306124,0.32884946177953517,-0.1276470079200084
150000,5000,9510,0,0.2839974514615936,0.10689807999999815,0.4078,0.1064,0.10289763265305883,0.01632269387755119,0.4771854446566029,-1.143958801115356
150000,5000,5738,0,0.09266546856363722,0.10716687999999856,0.4093,0.2141,0.10323934693877297,0.07474048979591845,0.47571209361430644,2.0641643157606206
150000,5000,9960,0,0.3381142827180509,0.09816311999999827,0.3678,0.0061,0.09404677551020214,0.0030641632653061208,0.5325750124996638,4.359771745885065
150000,5000,6866,0,0.08365781152543272,0.106516239999999,0.4019,0.2031,0.10157959183673265,0.07856089795918404,0.4841506146836146,2.6826404023256765
150000,5000,5665,0,0.16287059219407762,0.09988855999999777,0.4231,0.1134,0.09849485714285444,0.04532106122449,0.15659550331893066,2.889751609085043
150000,5000,4572,0,0.12232469428120396,0.09591583999999818,0.3971,0.1762,0.09634546938775262,0.0536698775510203,0.3179343332286976,1.3338618347605788
150000,5000,7208,0,0.19895937169481948,0.09888583999999867,0.3764,0.1398,0.09443297959183415,0.03770089795918405,0.4535321556196413,0.7608957387354067
150000,5000,8065,0,0.11259562890784836,0.10434007999999824,0.4031,0.1594,0.10108351020407859,0.06535942857142904,0.45159957585649335,3.062250995955769
150000,5000,6059,0,0.13585233116899786,0.10447647999999837,0.4313,0.1518,0.10094342857142591,0.05802636734693914,0.17713814303832134,2.606558096242097
150000,5000,5766,0,0.08477574946311417,0.09653751999999874,0.4024,0.1824,0.09509012244897724,0.06780710204081629,0.2142736590691443,2.4351961764286196
150000,5000,7926,0,0.2079113098214792,0.10022063999999832,0.3896,0.1385,0.09646734693877344,0.034972163265306146,0.3997300687585193,0.4794507714660283
150000,5000,6573,0,0.22312357752761514,0.1034610399999985,0.4098,0.1113,0.09955959183673227,0.03186857142857189,0.3232624097811676,1.0332360832708878
150000,5000,8645,0,0.3516835714896104,0.10524599999999851,0.4148,0.0004,0.10088293877550736,7.665306122448979e-05,0.3275637343776416,-0.3213587784178792
